"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 27 19:57:58 GMT 2024","Wed Nov 27 19:58:09 GMT 2024","11598","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Wed Nov 27 19:58:09 GMT 2024","Wed Nov 27 19:58:22 GMT 2024","12100","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
"passed","Wed Nov 27 19:57:33 GMT 2024","Wed Nov 27 19:57:57 GMT 2024","24072","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
"passed","Wed Nov 27 19:55:39 GMT 2024","Wed Nov 27 19:56:33 GMT 2024","53645","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Wed Nov 27 19:56:47 GMT 2024","Wed Nov 27 19:57:33 GMT 2024","45885","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
