"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 16:18:49 GMT 2024","Wed Nov 27 16:19:26 GMT 2024","36864","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
"failed","Wed Nov 27 16:18:15 GMT 2024","Wed Nov 27 16:18:27 GMT 2024","11307","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
"failed","Wed Nov 27 16:18:27 GMT 2024","Wed Nov 27 16:18:40 GMT 2024","12803","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
"failed","Wed Nov 27 16:18:40 GMT 2024","Wed Nov 27 16:18:49 GMT 2024","9107","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Wed Nov 27 16:17:09 GMT 2024","Wed Nov 27 16:18:02 GMT 2024","53426","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
