"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 21:37:17 GMT 2024","Thu Nov 28 21:37:27 GMT 2024","10377","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
"passed","Thu Nov 28 21:36:52 GMT 2024","Thu Nov 28 21:37:05 GMT 2024","12720","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
"failed","Thu Nov 28 21:36:03 GMT 2024","Thu Nov 28 21:36:51 GMT 2024","48490","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
"failed","Thu Nov 28 21:37:05 GMT 2024","Thu Nov 28 21:37:17 GMT 2024","11520","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Thu Nov 28 21:34:55 GMT 2024","Thu Nov 28 21:35:50 GMT 2024","55306","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
