"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 27 16:30:50 GMT 2024","Wed Nov 27 16:30:59 GMT 2024","9332","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Wed Nov 27 16:29:19 GMT 2024","Wed Nov 27 16:30:11 GMT 2024","52100","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Wed Nov 27 16:30:35 GMT 2024","Wed Nov 27 16:30:49 GMT 2024","14354","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
"failed","Wed Nov 27 16:30:24 GMT 2024","Wed Nov 27 16:30:35 GMT 2024","11002","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
"passed","Wed Nov 27 16:30:59 GMT 2024","Wed Nov 27 16:31:37 GMT 2024","37722","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
