"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 18:35:26 GMT 2024","Fri Nov 29 18:35:37 GMT 2024","10697","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
"passed","Fri Nov 29 18:32:49 GMT 2024","Fri Nov 29 18:33:43 GMT 2024","53592","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 29 18:34:56 GMT 2024","Fri Nov 29 18:35:10 GMT 2024","13712","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
"failed","Fri Nov 29 18:35:11 GMT 2024","Fri Nov 29 18:35:26 GMT 2024","14837","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Fri Nov 29 18:33:57 GMT 2024","Fri Nov 29 18:34:56 GMT 2024","58995","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
