"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 20:06:04 GMT 2024","Wed Nov 27 20:06:16 GMT 2024","11238","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
"failed","Wed Nov 27 20:05:52 GMT 2024","Wed Nov 27 20:06:04 GMT 2024","11475","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Wed Nov 27 20:05:37 GMT 2024","Wed Nov 27 20:05:52 GMT 2024","15029","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
"failed","Wed Nov 27 20:04:49 GMT 2024","Wed Nov 27 20:05:37 GMT 2024","48046","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
"passed","Wed Nov 27 20:03:42 GMT 2024","Wed Nov 27 20:04:36 GMT 2024","53923","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
