"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 27 19:35:32 GMT 2024","Wed Nov 27 19:35:43 GMT 2024","11523","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeForNotTheirProjectTest","User should NOT be able to create build type for not their project",""
"passed","Wed Nov 27 19:33:14 GMT 2024","Wed Nov 27 19:34:05 GMT 2024","50275","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Wed Nov 27 19:34:19 GMT 2024","Wed Nov 27 19:35:07 GMT 2024","47895","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProject","User should be able to create a project",""
"passed","Wed Nov 27 19:35:43 GMT 2024","Wed Nov 27 19:35:54 GMT 2024","10192","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildTypeWithEmptyNameTest","User should NOT be able to create build type with empty name",""
"passed","Wed Nov 27 19:35:07 GMT 2024","Wed Nov 27 19:35:31 GMT 2024","24204","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to create project and build type",""
